beat	gap	caption	speak
0:00	0.8	Glace runs four ice cream shops	Glassay runs four ice cream shops in Buenos Aires.
0:00	0.4	This dashboard is the owner's morning screen	
0:00	0.4	12 months, 4 locations, 6 flavors	Twelve months of revenue. Four locations. Six flavors.
0:20	1.2	The question: what happened to pistachio in January?	
0:20	0.8	First, without WebMCP	First, without web M C P.
0:20	0.5	The rail says it: no agent connected	
0:20	0.5	So the agent can only drive the interface	
0:20	0.6	It clicks. It sets months. It reads two months by hand.	
0:55	1.2	Four minutes thirty-eight seconds later, it has it	Four minutes, thirty eight seconds later, it has it.
0:55	0.7	Pistachio: 554 units. It is right.	Pistachio: five hundred fifty four units. It is right.
0:55	0.6	Halfway through, it asked to download the raw data file	Halfway through, it asked to download the raw data file, to stop reading the screen.
0:55	0.5	Longer than this entire video	That took longer than this entire video.
1:10	1.4	Same page. Same question. Tools registered.	
1:10	0.6	The page hands any agent 6 tools	The page hands any agent six tools.
1:10	0.5	No screenshots. No DOM scraping. No typing.	No screenshots. No dom scraping. No typing.
1:40	1.2	One question, in plain English	
1:40	0.6	The agent picks its own strategy	
1:40	0.5	It reads January, then December, and ranks both	It reads January. Then December. Then it ranks the flavors in both.
1:40	0.6	Five calls. Thirty-six seconds.	Five calls. Thirty six seconds.
1:40	0.5	The same answer that cost four and a half minutes	
1:40	0.5	The rail logs every single one	
2:10	1.3	Pistachio at North, January: 554 units	Pistachio at North, January: five hundred fifty four units.
2:10	0.6	December was 2,099.	December was two thousand ninety nine.
2:10	0.6	Every other flavor rose about 24%	Every other flavor rose about twenty four percent.
2:10	0.5	It fell from third best seller, to last	
2:10	0.6	The agent: it runs against the broad January increase	The agent says it runs against the broad January increase.
2:30	1.5	Now look at the chart again	
2:30	0.8	January is the tallest bar of the year	
2:30	0.5	$50,800. North's best month ever.	Fifty thousand eight hundred dollars. North's best month ever.
2:30	0.6	A stockout hiding behind a record total	
2:30	0.5	No pixel on this screen says that	
2:50	1.4	And the tools write, not just read	
2:50	0.6	set_dashboard_view moves the screen you watch	Set dashboard view moves the screen you are watching.
2:50	0.6	Amber means the agent changed something	
2:50	0.5	Every call logged. One click undoes it.	
2:50	0.8	6 tools. The same numbers the human sees.	Six tools. The same numbers the human sees.
